PLAYER,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,Season,Team,GW18,GW19,GW20,GW21
John Abraham,,,Q,,Q,Q,Q,,,,,,,,,,,11,ATL,,,,
Jonathan Babineaux,Q,O,O,O,Q,Q,P,,,,,,,Q,,,P,11,ATL,,,,
Sam Baker,,,,Q,,,Q,O,O,O,Q,Q,Q,,,,,11,ATL,,,,
Justin Blalock,,,,,,,,,,,Q,,,,,,,11,ATL,,,,
Rob Bruggeman,P,,,,,,,,,,,,,,,,,11,ATL,,,,
Matt Bryant,,,,,,,,,,,,,,P,,,,11,ATL,,,,
Tyson Clabo,Q,,,,,,,,,,,,,P,,,,11,ATL,,,,
Mike Cox,,,,,,,,,,,,,,,,,P,11,ATL,,,,
Harry Douglas,,Q,,,,,,,,P,,,Q,Q,Q,Q,Q,11,ATL,,,,
Ray Edwards,,,Q,,,,,,Q,P,,,P,P,,Q,,11,ATL,,,,
Tony Gonzalez,,,,,,Q,P,Q,Q,,,,,,,,,11,ATL,,,,
Brent Grimes,,,,,,,,,P,Q,Q,O,O,O,Q,Q,Q,11,ATL,,,,
Joe Hawley,,,,,,,,,,,,,P,,,,,11,ATL,,,,
Kelvin Hayden,,,Q,Q,,,,,,,Q,Q,Q,Q,Q,IR,IR,11,ATL,,,,
Peria Jerry,,,,,,,,,,,,,,,,,P,11,ATL,,,,
Mike Johnson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,11,ATL,,,,
Julio Jones,,,,,,O,Q,Q,Q,D,Q,Q,Q,Q,,P,P,11,ATL,,,,
Reggie Kelly,,,,,,,,,,,,,,,,Q,P,11,ATL,,,,
Curtis Lofton,,,,Q,,,,,P,Q,Q,,,,Q,Q,P,11,ATL,,,,
Cliff Matthews,,,,O,Q,Q,,,,,,,,,,,,11,ATL,,,,
Todd McClure,O,Q,Q,,Q,Q,Q,,,,,,,,,,,11,ATL,,,,
Kerry Meier,,,,,,,,,,,,,,,D,Q,Q,11,ATL,,,,
William Moore,,,,,Q,Q,,,Q,D,Q,,,,,,Q,11,ATL,,,,
Ovie Mughelli,,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,11,ATL,,,,
Stephen Nicholas,,,Q,D,Q,,,,,,,Q,Q,Q,Q,Q,D,11,ATL,,,,
Chris Owens,,Q,,,P,Q,Q,P,,,,,Q,P,P,P,P,11,ATL,,,,
Michael Palmer,,,,,Q,,,,,,,,,,,Q,Q,11,ATL,,,,
Corey Peters,Q,P,P,,,,,,P,,Q,,,,Q,,,11,ATL,,,,
Mike Peterson,,,,,,,,,,,,,,,,IR,IR,11,ATL,,,,
Garrett Reynolds,,,,,,Q,Q,,,,,,,,,,,11,ATL,,,,
Dunta Robinson,P,,,,,,,,P,,,P,,,,,,11,ATL,,,,
Matt Ryan,,,Q,,,,,,,,,,,,,,,11,ATL,,,,
James Sanders,,,,,,Q,Q,,,,,,,,,,,11,ATL,,,,
Shann Schillinger,,,P,,,,,,,,,,,,,,,11,ATL,,,,
Lawrence Sidbury,P,,,,,,,,,,,,,,,,,11,ATL,,,,
Antone Smith,,,,,,,,,,P,,,,,,,,11,ATL,,,,
Jason Snelling,,,,D,P,,,,,Q,,,,,Q,,Q,11,ATL,,,,
Will Svitek,,,,,,,,,,,,,Q,Q,Q,P,,11,ATL,,,,
Michael Turner,,,,,,,,,,,,Q,Q,Q,Q,Q,P,11,ATL,,,,
Vance Walker,,,,,,,,,,,,Q,P,,,,,11,ATL,,,,
Sean Weatherspoon,,,,,,,,,,,,,,,,,P,11,ATL,,,,
Roddy White,P,P,Q,Q,Q,P,P,,,,,,P,,,,P,11,ATL,,,,
John Abraham,,,Q,,,,,,P,Q,Q,,,,,,P,12,ATL,Q,,,
Jonathan Babineaux,,,,Q,Q,Q,Q,Q,Q,Q,Q,,,Q,Q,Q,,12,ATL,P,,,
Sam Baker,,,,,,,,,Q,,,Q,,Q,,,,12,ATL,,,,
Justin Blalock,,,,,,,,,,,,,,Q,,,,12,ATL,,,,
Matt Bryant,,,,,,,,Q,,,Q,,,,,,,12,ATL,,,,
Tyson Clabo,,Q,Q,Q,,,,,,,,,,,Q,,,12,ATL,,,,
Kevin Cone,,,,,,Q,,Q,Q,Q,Q,Q,,,,IR,IR,12,ATL,IR,,,
Dominique Davis,,,,,,Q,,,,,,,,,,,,12,ATL,,,,
Drew Davis,,,,,,,,Q,,,,,,,,,,12,ATL,,,,
Harry Douglas,,,,,,,Q,Q,Q,Q,,Q,,Q,Q,,,12,ATL,,,,
Bradie Ewing,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Tommy Gallarda,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Tony Gonzalez,,,,,,,,,,Q,,,,,,,,12,ATL,,,,
Brent Grimes,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Joe Hawley,,,,,,,,,,,,,,,P,,,12,ATL,,,,
Chris Hope,,,,,,,,,,,,,,Q,,,,12,ATL,,,,
Robert James,,Q,,,,,,,,,,,,,,,,12,ATL,,,,
Peria Jerry,,,,,,Q,,,Q,,Q,Q,Q,,,,,12,ATL,,,,
Julio Jones,,,Q,Q,P,,,,Q,Q,Q,,,,,,,12,ATL,,,,
Cliff Matthews,,,,,,,,,,,,,,,Q,Q,,12,ATL,,,,
Robert McClain,,,,,,,,,Q,,,,,,,,,12,ATL,,,,
Todd McClure,,,,,Q,Q,,,,,,,,,,,,12,ATL,,,,
Charles Mitchell,,,,,,,,,Q,Q,Q,Q,,,,,Q,12,ATL,,,,
William Moore,,,,,Q,Q,,,,,,,Q,Q,Q,Q,Q,12,ATL,P,,,
Stephen Nicholas,,,Q,Q,Q,Q,,,,Q,,Q,,,,,,12,ATL,P,,,
