Team,Win Total,Over Odds,Under Odds,Week bet settled,Actual Wins,Result,Year
CRD,7.0,-150.0,120.0,Week 17,8.0,Over,2011
ATL,10.0,-105.0,-125.0,Week 17,10.0,Push,2011
RAV,10.5,110.0,-140.0,Week 16,12.0,Over,2011
BUF,5.5,-120.0,-110.0,Week 16,6.0,Over,2011
CAR,4.5,-105.0,-125.0,Week 15,6.0,Over,2011
CHI,8.5,130.0,-160.0,Week 16,8.0,Under,2011
CIN,5.5,110.0,-140.0,Week 9,9.0,Over,2011
CLE,6.5,-160.0,130.0,Week 15,4.0,Under,2011
DAL,9.0,110.0,-140.0,Week 17,8.0,Under,2011
DEN,6.0,-120.0,-110.0,Week 13,8.0,Over,2011
DET,8.0,-145.0,115.0,Week 15,10.0,Over,2011
GNB,11.5,120.0,-150.0,Week 13,15.0,Over,2011
HTX,9.0,-145.0,115.0,Week 14,10.0,Over,2011
CLT,,,,,2.0,,2011
JAX,6.5,-110.0,-120.0,Week 15,5.0,Under,2011
KAN,7.5,-115.0,-115.0,Week 16,7.0,Under,2011
MIA,7.5,115.0,-145.0,Week 14,6.0,Under,2011
MIN,7.0,-120.0,-110.0,Week 13,3.0,Under,2011
NWE,11.5,-115.0,-115.0,Week 16,13.0,Over,2011
NOR,10.0,-150.0,120.0,Week 15,13.0,Over,2011
NYG,9.5,130.0,-160.0,Week 15,9.0,Under,2011
NYJ,10.0,105.0,-135.0,Week 16,8.0,Under,2011
RAI,6.5,-105.0,-125.0,Week 12,8.0,Over,2011
PHI,10.5,-150.0,120.0,Week 10,8.0,Under,2011
PIT,10.5,-120.0,-110.0,Week 16,12.0,Over,2011
SDG,11.0,115.0,-145.0,Week 11,8.0,Under,2011
SFO,7.5,-105.0,-125.0,Week 10,13.0,Over,2011
SEA,6.0,120.0,-150.0,Week 15,7.0,Over,2011
RAM,7.5,-120.0,-110.0,Week 12,2.0,Under,2011
TAM,8.0,120.0,-150.0,Week 14,4.0,Under,2011
OTI,6.5,-130.0,100.0,Week 13,9.0,Over,2011
WAS,6.0,-125.0,-105.0,Week 17,5.0,Under,2011
CRD,7.0,133.0,-170.0,Week 16,5.0,Under,2012
ATL,9.0,-135.0,105.0,Week 12,13.0,Over,2012
RAV,10.0,150.0,-190.0,Week 17,10.0,Push,2012
BUF,8.0,-150.0,120.0,Week 15,6.0,Under,2012
CAR,7.5,-145.0,115.0,Week 13,7.0,Under,2012
CHI,9.5,-105.0,-125.0,Week 17,10.0,Over,2012
CIN,8.0,105.0,-135.0,Week 16,10.0,Over,2012
CLE,5.5,133.0,-170.0,Week 17,5.0,Under,2012
DAL,8.5,-160.0,125.0,Week 17,8.0,Under,2012
DEN,8.5,-170.0,133.0,Week 13,13.0,Over,2012
DET,9.0,105.0,-135.0,Week 13,4.0,Under,2012
GNB,12.0,160.0,-200.0,Week 17,11.0,Under,2012
HTX,10.0,-190.0,150.0,Week 13,12.0,Over,2012
CLT,5.5,-105.0,-125.0,Week 10,11.0,Over,2012
JAX,5.5,-110.0,-120.0,Week 14,2.0,Under,2012
KAN,8.0,125.0,-160.0,Week 11,2.0,Under,2012
MIA,7.0,170.0,-220.0,Week 17,7.0,Push,2012
MIN,6.0,-115.0,-115.0,Week 14,10.0,Over,2012
NWE,12.0,-115.0,-115.0,Week 17,12.0,Push,2012
NOR,9.5,-125.0,-105.0,Week 13,7.0,Under,2012
NYG,9.0,-140.0,110.0,Week 17,9.0,Push,2012
NYJ,8.5,125.0,-160.0,Week 15,6.0,Under,2012
RAI,7.0,-115.0,-115.0,Week 14,4.0,Under,2012
PHI,10.0,110.0,-140.0,Week 11,4.0,Under,2012
PIT,10.0,-125.0,-105.0,Week 15,8.0,Under,2012
SDG,9.0,130.0,-165.0,Week 13,7.0,Under,2012
SFO,10.0,110.0,-140.0,Week 17,11.0,Over,2012
SEA,7.5,-130.0,100.0,Week 14,11.0,Over,2012
RAM,6.0,-125.0,-105.0,Week 16,7.0,Over,2012
