Season,Team,Wins,CompWins,RookCapPct,OffCapPct,QBCapPct
2011,Arizona Cardinals,8,6.7456226,.31465736,.54875207,.098825656
2012,Arizona Cardinals,5,8.0933685,.23134045,.53410667,.09894488
2013,Arizona Cardinals,10,9.1929836,.24659161,.52026117,.10178091
2014,Arizona Cardinals,11,9.1366196,.19514513,.49110201,.1196932
2015,Arizona Cardinals,13,8.6377563,.19298083,.49456009,.081961587
2016,Arizona Cardinals,7.5,7.1978035,.26309356,.51321834,.13548926
2017,Arizona Cardinals,8,7.1681023,.14354642,.54017371,.1737714
2018,Arizona Cardinals,3,8.0632572,.20734662,.49013069,.13315454
2019,Arizona Cardinals,5.5,7.9708595,.24796282,.55582851,.12799561
2020,Arizona Cardinals,8,6.4417133,.18034698,.44253001,.049354255
2021,Arizona Cardinals,11,7.4810085,.19691695,.47556624,.060474977
2022,Arizona Cardinals,4,8.4859905,.19307822,.52648467,.080211751
2023,Arizona Cardinals,4,9.2374458,.23547333,.59407395,.098322809
2024,Arizona Cardinals,8,9.2416935,.17030089,.55067062,.1964418
2011,Atlanta Falcons,10,7.4373188,.46707496,.55852091,.13073979
2012,Atlanta Falcons,13,6.3258991,.31579787,.51037163,.11016262
2013,Atlanta Falcons,4,8.4441204,.26064998,.50596446,.081037819
2014,Atlanta Falcons,6,7.8678474,.25335568,.5921402,.13966277
2015,Atlanta Falcons,8,7.0700607,.20899162,.60404241,.1510883
2016,Atlanta Falcons,11,7.0038052,.18540899,.60525626,.16661438
2017,Atlanta Falcons,10,6.8257751,.15477425,.55766767,.16427982
2018,Atlanta Falcons,7,8.1894608,.17026873,.56777567,.1288909
2019,Atlanta Falcons,7,6.4897156,.23146485,.52064437,.097682327
2020,Atlanta Falcons,4,8.6876278,.20861056,.59220302,.10800059
2021,Atlanta Falcons,7,8.4005127,.2483428,.53934187,.15538412
2022,Atlanta Falcons,7,8.7790871,.24663793,.62657875,.22803523
2023,Atlanta Falcons,7,8.6369152,.24965481,.47346687,.044685952
2024,Atlanta Falcons,8,8.3215027,.22945943,.54310119,.13183497
2011,Baltimore Ravens,12,7.5222054,.25405991,.41103417,.050861068
2012,Baltimore Ravens,10,8.2944393,.23608506,.4057216,.065400451
2013,Baltimore Ravens,8,8.6644058,.2114199,.44770297,.059491698
2014,Baltimore Ravens,10,9.8228874,.21115251,.45987368,.12496491
